hidden_nodes,hidden_layers,run_number,run_seed,parameter_count,best_epoch,best_test_loss_scaled,train_rmse,test_rmse,model_filename,model_path
8,3,1,42,169,1000,0.013501042500138283,0.46747992431659924,0.41093501681313666,fnn_model_node_8-1.pt,c:\Users\HP\Documents\Github\Basic_example\results\node_sweep\models_6runs\fnn_model_node_8-1.pt
8,3,2,43,169,1000,0.050759993493556976,0.7926288496380279,0.7968017694072533,fnn_model_node_8-2.pt,c:\Users\HP\Documents\Github\Basic_example\results\node_sweep\models_6runs\fnn_model_node_8-2.pt
8,3,3,44,169,1000,0.0411522202193737,0.7250917787666885,0.7174409472524513,fnn_model_node_8-3.pt,c:\Users\HP\Documents\Github\Basic_example\results\node_sweep\models_6runs\fnn_model_node_8-3.pt
8,3,4,45,169,1000,0.009640625678002834,0.38908590376601243,0.3472498865498137,fnn_model_node_8-4.pt,c:\Users\HP\Documents\Github\Basic_example\results\node_sweep\models_6runs\fnn_model_node_8-4.pt
8,3,5,46,169,998,0.05360592529177666,0.8125152586457848,0.8188340078455019,fnn_model_node_8-5.pt,c:\Users\HP\Documents\Github\Basic_example\results\node_sweep\models_6runs\fnn_model_node_8-5.pt
8,3,6,47,169,1000,0.012748154811561108,0.44375842784883857,0.3993127596477119,fnn_model_node_8-6.pt,c:\Users\HP\Documents\Github\Basic_example\results\node_sweep\models_6runs\fnn_model_node_8-6.pt
7,3,1,42,134,226,1.350637674331665,3.5489786102518837,4.110161651625181,fnn_model_node_7-1.pt,c:\Users\HP\Documents\Github\Basic_example\results\node_sweep\models_6runs\fnn_model_node_7-1.pt
7,3,2,43,134,1000,0.06975777447223663,0.9117867595604073,0.9340836265219323,fnn_model_node_7-2.pt,c:\Users\HP\Documents\Github\Basic_example\results\node_sweep\models_6runs\fnn_model_node_7-2.pt
7,3,3,44,134,1000,0.025394901633262634,0.6602472547295669,0.5635893128772738,fnn_model_node_7-3.pt,c:\Users\HP\Documents\Github\Basic_example\results\node_sweep\models_6runs\fnn_model_node_7-3.pt
7,3,4,45,134,1000,0.05025751143693924,0.7764686374238187,0.7928480986713871,fnn_model_node_7-4.pt,c:\Users\HP\Documents\Github\Basic_example\results\node_sweep\models_6runs\fnn_model_node_7-4.pt
7,3,5,46,134,1000,0.03772493451833725,0.6890596125881743,0.6869161684439458,fnn_model_node_7-5.pt,c:\Users\HP\Documents\Github\Basic_example\results\node_sweep\models_6runs\fnn_model_node_7-5.pt
7,3,6,47,134,999,0.03143180161714554,0.6261184222179915,0.62700954670612,fnn_model_node_7-6.pt,c:\Users\HP\Documents\Github\Basic_example\results\node_sweep\models_6runs\fnn_model_node_7-6.pt
